year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,party,candidatevotes,totalvotes,unofficial
1988,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,DANIEL K. AKAKA,democrat,FALSE,DEMOCRAT,144802,162808,FALSE
1988,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,LLOYD JEFFREY MALLAN,libertarian,FALSE,LIBERTARIAN,18006,162808,FALSE
1990,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,NEIL ABERCROMBIE,democrat,FALSE,DEMOCRAT,97622,162711,FALSE
1990,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,MIKE LIU,republican,FALSE,REPUBLICAN,62982,162711,FALSE
1990,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,ROGER LEE TAYLOR,libertarian,FALSE,LIBERTARIAN,2107,162711,FALSE
1990,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,ANDY POEPOE,republican,FALSE,REPUBLICAN,54625,178288,FALSE
1990,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,LLOYD JEFFREY MALLAN,libertarian,FALSE,LIBERTARIAN,5508,178288,FALSE
1990,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,PATSY T. MINK,democrat,FALSE,DEMOCRAT,118155,178288,FALSE
1992,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,NEIL ABERCROMBIE,democrat,FALSE,DEMOCRAT,129332,177476,FALSE
1992,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,WARNER SUTTON,republican,FALSE,REPUBLICAN,41575,177476,FALSE
1992,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,ROCKNE HART JONHSON,libertarian,FALSE,LIBERTARIAN,6569,177476,FALSE
1992,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,PATSY T. MINK,democrat,FALSE,DEMOCRAT,131454,180955,FALSE
1992,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,LLOYD JEFF MALLAN,libertarian,FALSE,LIBERTARIAN,9431,180955,FALSE
